id,description,lat,lon
P01,Golfo de Penas — western anchor,-47.6554,-74.7902
P02,Canal Messier north,-47.7228,-74.7571
P03,Canal Messier mid-north,-47.8429,-74.7297
P04,Canal Messier mid,-47.9349,-74.6720
P05,Canal Messier mid-south,-48.0305,-74.6446
P06,Canal Messier south,-48.1195,-74.6143
P07,Puerto Francisco (SHOA anchor),-47.7833,-74.6000
P08,Canal Baker west,-47.8348,-74.4915
P09,Canal Baker west-mid,-47.9261,-74.4319
P10,Canal Baker mid,-47.9808,-74.2755
P11,Canal Baker mid-east,-47.9599,-74.1035
P12,Puerto Brown vicinity (SHOA anchor),-47.9682,-73.9409
P13,Canal Baker east,-47.9960,-73.7736
P14,Canal Baker / Tortel approach,-48.0390,-73.5695
P15,Canal Martínez / Baker junction,-47.8088,-73.7377
P16,Fiordo Steffen,-47.6842,-73.7084
P17,Lago Merino Jarpa (calibration),-47.8706,-74.0876
P18,Canal Martínez,-47.7734,-74.2110
P19,Canal Baker north,-47.7959,-74.0130
P20,Eastern extent — toward Yungay,-48.1178,-73.4908
P21,Canal Martínez south,-47.7510,-74.3837
P22,Baker / Messier confluence,-47.9475,-74.5417
